"chapter","audio_file","shloka","charan","start_sec","end_sec","confidence","verified","status"
"1","CH01.mp3","20","4","371","375.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","21","","375.8","398","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","21","1","375.8","380","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","21","2","380","385","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","21","3","388.5","393","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","21","4","393","398","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","22","","398","416","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","22","1","398","402.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","22","2","402.5","406.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","22","3","406.8","411","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","22","4","411","416","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","23","","416","434.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","23","1","416","420.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","23","2","420.5","424.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","23","3","424.8","429","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","23","4","429","434.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","24","","438.2","457","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","24","1","438.2","442.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","24","2","442.8","447.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","24","3","447.2","451.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","24","4","451.8","457","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","25","","457","474.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","25","1","457","461.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","25","2","461.5","465.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","25","3","465.8","469.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","25","4","469.5","474.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","26","","474.5","492.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","26","1","474.5","479.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","26","2","479.2","483.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","26","3","483.5","487.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","26","4","487.8","492.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","27","","492.2","510.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","27","1","492.2","496.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","27","2","496.5","501","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","27","3","501","505.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","27","4","505.5","510.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","28","","510.5","532.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","28","1","510.5","514.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","28","2","514.8","519.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","28","3","523","527.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","28","4","527.5","532.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","29","","532.5","550.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","29","1","532.5","536.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","29","2","536.8","541.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","29","3","541.2","545.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","29","4","545.5","550.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","30","","550.5","568.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","30","1","550.5","555","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","30","2","555","559.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","30","3","559.5","563.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","30","4","563.8","568.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","31","","568.5","587.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","31","1","568.5","573","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","31","2","573","577.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","31","3","577.8","582","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","31","4","582","587.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","32","","587.2","605.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","32","1","587.2","591.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","32","2","591.8","596","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","32","3","596","600.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","32","4","600.2","605.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","33","","605.2","623.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","33","1","605.2","609.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","33","2","609.8","614.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","33","3","614.2","618.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","33","4","618.2","623.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","34","","623.5","641.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","34","1","623.5","628","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","34","2","628","632.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","34","3","632.5","636.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","34","4","636.5","641.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","35","","641.5","660","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","35","1","641.5","646.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","35","2","646.2","650.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","35","3","650.8","655","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","35","4","655","660","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","36","","660","678","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","36","1","660","664.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","36","2","664.5","668.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","36","3","668.8","673","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","36","4","673","678","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","37","","678","696","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","37","1","678","682.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","37","2","682.5","687","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","37","3","687","691","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","37","4","691","696","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","38","","696","714.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","38","1","696","700.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","38","2","700.5","705","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","38","3","705","709.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","38","4","709.2","714.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","39","","714.2","732.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","39","1","714.2","718.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","39","2","718.5","722.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","39","3","722.8","727","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","39","4","727","732.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","40","","732.2","750","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","40","1","732.2","736.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","40","2","736.8","741.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","40","3","741.2","745.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","40","4","745.2","750","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","41","","750","768.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","41","1","750","754.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","41","2","754.5","759","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","41","3","759","763.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","41","4","763.2","768.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","42","","768.2","786.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","42","1","768.2","772.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","42","2","772.8","777.2","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","42","3","777.2","781.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","42","4","781.5","786.5","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","43","","786.5","804.8","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","43","1","786.5","791","0.99","True","AUTO_VERIFIED"
"1","CH01.mp3","43","2","791","795.5","0.99","True","AUTO_VERIFIED"
